index,name,status,group_year,movie_id
368,summers,i,1984,680398
369,summers,i,1992,4231
370,summers,i,2002,5886412
371,kimberly,t,1979,164365
372,kimberly,t,2004,1128240
373,kimberly,t,2004,1599839
374,kimberly,t,2004,5734461
375,kimberly,b,1968,26492850
376,kimberly,i,1997,277148
377,kimberly,i,1992,4231
378,kimberly,i,2009,22857151
379,kimberly,i,1995,703807
380,kimberly,i,2005,2322291
381,benny,b,1940,22235398
382,benny,b,1940,25561829
383,benny,b,1940,18579598
384,benny,i,1990,55325
385,benny,i,1996,904450
386,benny,i,1993,503573
387,benny,i,1998,695283
388,benny,i,1989,129542
389,buffy,i,2000,277667
390,buffy,i,1992,4231
391,jennifer,t,1967,11577392
392,jennifer,t,1967,11612413
393,jennifer,t,1967,11161265
394,jennifer,t,1993,213275
395,jennifer,t,1993,4231
396,jennifer,t,1993,736200
397,jennifer,t,1960,5777111
398,jennifer,t,1960,21243273
399,jennifer,t,2009,7920068
400,jennifer,t,2009,15713038
401,jennifer,t,2009,2688309
402,jennifer,t,1942,2100379
403,jennifer,b,1975,2390369
404,jennifer,b,1975,2370259
405,jennifer,b,1975,5821430
406,jennifer,b,1984,42993
407,jennifer,b,1984,34130
408,jennifer,b,1984,1179229
409,jennifer,i,1989,213270
410,jennifer,i,2002,25165180
411,jennifer,i,2000,20839451
412,jennifer,i,2004,984020
413,jennifer,i,2005,1266043
414,merrick,b,1946,17066135
415,merrick,i,2005,1068520
416,merrick,i,1980,106344
417,merrick,i,1992,4231
418,merrick,i,1975,1254263
419,merrick,i,2009,23292052
420,amilyn,i,1992,4231
421,edward,t,1960,3992363
422,edward,t,1960,2181949
423,edward,t,1978,30863819
424,edward,t,1978,10332120
425,edward,t,1978,17475150
426,edward,t,2006,14277334
427,edward,t,2006,20672258
428,edward,t,2006,739286
429,edward,t,1998,4560
430,edward,t,1998,142465
431,edward,t,1998,308430
432,edward,b,1923,2509613
433,edward,b,1923,30003165
434,edward,b,1923,15328420
435,edward,b,1929,33179953
436,edward,b,1970,1069944
437,edward,b,1970,952354
438,edward,b,1970,11600033
439,edward,i,2010,30868944
440,edward,i,1990,156745
441,edward,i,2011,32840793
442,edward,i,1944,2648856
443,edward,i,1987,168593
444,campbell,t,2000,277667
445,campbell,t,2000,397574
446,campbell,t,2000,532618
447,campbell,b,2007,10433895
448,campbell,b,2007,10215404
449,campbell,b,2007,15739815
450,campbell,i,1995,2180118
451,campbell,i,2003,714334
452,campbell,i,1992,3703551
453,campbell,i,1969,6268880
454,campbell,i,1993,149113
455,william,t,1962,74387
456,william,t,1962,3992363
457,william,t,1962,6982919
458,william,t,1936,17711304
459,william,t,1936,14689013
460,william,t,1936,8178460
461,william,t,1979,817057
462,william,t,1979,920296
463,william,t,1979,962431
464,william,t,1995,206818
465,william,t,1995,4560
466,william,t,1995,52389
467,william,b,1929,26930909
468,william,b,1929,18780551
469,william,b,1929,22895245
470,william,b,1944,3591767
471,william,b,1944,77685
472,william,b,1944,3676154
473,william,b,1970,45481
474,william,b,1970,1069944
475,william,b,1970,5794164
476,william,b,1953,1022698
477,william,b,1953,4150566
478,william,b,1953,21235994
479,william,i,2007,19054381
480,william,i,2003,5787216
481,william,i,2008,35758952
482,william,i,2002,430788
483,william,i,1992,67417
484,king,t,2011,25080984
485,king,t,2011,16839300
486,king,t,2011,36019569
487,king,t,2005,2465797
488,king,t,2005,525314
489,king,t,2005,903383
490,king,i,1995,171047
491,king,i,1974,14222062
492,king,i,1989,5628441
493,king,i,1984,4702014
494,king,i,1996,31091116
495,princess,t,1977,106344
496,princess,t,1977,3978441
497,princess,t,1977,1328188
498,princess,b,1987,301574
499,princess,b,1987,75222
500,princess,b,1987,1024501
501,princess,b,1964,2609169
502,princess,b,1964,4463477
503,princess,b,1964,787058
504,princess,i,1995,17747518
505,princess,i,2001,6408318
506,princess,i,2010,20653949
507,princess,i,2004,7101944
508,princess,i,2012,31057369
509,robert,t,1960,8581231
510,robert,t,1960,7543423
511,robert,t,1960,19476185
512,robert,t,1912,15752401
513,robert,t,1912,7218799
514,robert,t,1978,186856
515,robert,t,1978,75261
516,robert,t,1978,164376
517,robert,t,2001,1009041
518,robert,t,2001,225615
519,robert,t,2001,1141438
520,robert,t,2009,2809621
521,robert,t,2009,6641931
522,robert,t,2009,2654186
523,robert,b,1969,508044
524,robert,b,1969,6090957
525,robert,b,1969,5813769
526,robert,b,1938,2618462
527,robert,b,1938,61480
528,robert,b,1938,5819703
529,robert,b,1924,73930
530,robert,b,1924,24162182
531,robert,b,1924,34149562
532,robert,b,1988,509676
533,robert,b,1988,1839695
534,robert,b,1988,380123
535,robert,i,1995,9513537
536,robert,i,1997,12278961
537,robert,i,1993,3985182
538,robert,i,1994,33780921
539,robert,i,1992,15420502
540,hamish,i,1995,4560
541,hamish,i,2003,3701117
542,hamish,i,2011,31839719
543,hamish,i,2012,35003456
544,wallace,t,2012,17574075
545,wallace,t,2012,27216746
546,wallace,t,2012,31700529
547,wallace,i,1994,54173
548,wallace,i,1995,740824
549,wallace,i,1978,20179415
550,wallace,i,1999,947450
551,wallace,i,1998,26619038
552,bruce,t,1945,3624149
553,bruce,t,1973,64291
554,bruce,t,1973,11958947
555,bruce,t,1973,3078054
556,bruce,t,1930,33434044
557,bruce,t,1930,24224913
558,bruce,t,2010,29075630
559,bruce,t,2010,22114132
560,bruce,t,2010,5476946
561,bruce,t,1995,52371
562,bruce,t,1995,4560
563,bruce,t,1995,647756
564,bruce,b,1952,21760793
565,bruce,i,2005,473086
566,bruce,i,2001,101523
567,bruce,i,2002,563861
568,bruce,i,1940,74018
569,bruce,i,1999,1562557
570,isabelle,t,1995,4560
571,isabelle,t,1995,600194
572,isabelle,t,1995,3375262
573,isabelle,t,1988,8996916
574,isabelle,b,2007,24630747
575,isabelle,b,2007,14882944
576,isabelle,b,2007,451817
577,isabelle,i,2011,33669461
578,isabelle,i,2012,20476331
579,isabelle,i,2003,20857007
580,isabelle,i,2002,1268226
581,isabelle,i,2013,36565748
582,knox,t,2008,7845053
583,knox,t,2008,26072991
584,knox,t,2008,30741010
585,knox,t,2002,342692
586,knox,t,2002,1035959
587,knox,t,2002,499810
588,knox,t,1994,21180
589,knox,t,1994,2632500
590,knox,i,1989,4726
591,knox,i,1999,2727959
592,knox,i,2001,1704458
593,knox,i,1960,21069604
594,knox,i,1976,25012425
595,james,t,1962,6322029
596,james,t,1962,6446053
597,james,t,1962,6446071
598,james,t,2001,28269
599,james,t,2001,321496
600,james,t,2001,197558
601,james,t,2012,22144990
602,james,t,2012,12252836
603,james,t,2012,3071743
604,james,b,1945,9231651
605,james,b,1945,8133963
606,james,b,1945,19047475
607,james,b,1970,5078515
608,james,b,1970,6446061
609,james,b,1970,157481
610,james,i,2008,20264357
611,james,i,2005,13027958
612,james,i,1990,16366907
613,james,i,2006,4470232
614,james,i,2007,12330542
615,dent,i,1989,4726
616,dent,i,1962,6446053
617,dent,i,1979,5889382
618,alexander,t,1984,2168783
619,alexander,t,1984,1062223
620,alexander,t,1984,5337946
621,alexander,t,1967,19922045
622,alexander,t,1967,35284758
623,alexander,t,1936,74979
624,alexander,t,1936,385895
625,alexander,t,1936,10408933
626,alexander,t,1959,3992363
627,alexander,t,1959,1870643
628,alexander,t,1959,209301
629,alexander,b,1993,171078
630,alexander,b,1993,843289
631,alexander,b,1993,12013209
632,alexander,b,2009,25854460
633,alexander,b,2009,17665499
634,alexander,b,2009,29561419
635,alexander,i,1971,14754221
636,alexander,i,2002,2903228
637,alexander,i,1941,34129784
638,alexander,i,1989,29030072
639,alexander,i,1997,2932827
640,gordon,t,1947,31020658
641,gordon,t,1947,20769253
642,gordon,t,1947,15074123
643,gordon,t,1977,3978441
644,gordon,t,1977,2581818
645,gordon,t,1977,2493454
646,gordon,t,2011,4276475
647,gordon,t,2011,29075630
648,gordon,t,2011,16839300
649,gordon,b,1936,1276889
650,gordon,b,1936,73471
651,gordon,b,1936,61480
652,gordon,i,2005,1571951
653,gordon,i,2004,1319356
654,gordon,i,1989,12053509
655,gordon,i,2009,19583175
